vardekod,vardebenamning
322041,"Tillverkning av rockar, kostymer, byxor"
322042,"Tillverkning av kappor, dräkter, kjolar"
322043,"Tillverkning av klänningar, blusar"
322049,Tillverkning av övriga textilöverkläder
32205,"Tillverkning av skjortor, underkläder"
322051,Tillverkning av skjortor
322052,Tillverkning av underkläder
32206,Lönsömnad
322060,Lönsömnad
32209,Annan tillverkning av kläder
322091,"Tillverkning av korsetter, gördlar, hängslen"
322099,Tillverkning av övriga kläder
323,"Tillverkning av läder och pälsskinn, reseffekter, handväskor o l"
3231,Lädertillverkning
32310,Lädertillverkning
323100,Lädertillverkning
3232,Pälsberedning
32320,Pälsberedning
323200,Pälsberedning
3233,"Tillverkning av reseffekter, handväskor o l"
32330,"Tillverkning av reseffekter, handväskor o l"
323300,"Tillverkning av reseffekter, handväskor o l"
324,Skotillverkning
3240,Skotillverkning
32400,Skotillverkning
324000,Skotillverkning
33,Trävarutillverkning
331,"Trävarutillverkning, utom möbeltillverkning"
3311,Trämaterial- och byggnadssnickeritillverkning
33111,"Sågning, hyvling, träimpregnering"
331111,"Sågning, hyvling"
331112,Träimpregnering
33112,"Trähus-, byggnadssnickeritillverkning"
331121,Tillverkning av monteringsfärdiga trähus
331122,Byggnads- och inredningssnickeritillverkning
33119,Annan trämaterialtillverkning
331191,"Tillverkning av fanér, kryssfanér, lamellträ"
331192,Tillverkning av spånskivor
331199,Tillverkning av övriga trämaterial
3312,Träförpackningstillverkning
33120,Träförpackningstillverkning
331200,Träförpackningstillverkning
3319,Övrig trävarutillverkning
33190,Övrig trävarutillverkning
331900,Övrig trävarutillverkning
332,Tillverkning av möbelvaror utom av metall
3320,Tillverkning av möbelvaror utom av metall
33201,Tillverkning av stoppade möbler
332010,Tillverkning av stoppade möbler
33202,Tillverkning av ostoppade trämöbler (ej korg och rotting)
332020,Tillverkning av ostoppade trämöbler (ej korg och rotting)
33209,"Tillverkning av andra trämöbelvaror, madrasser"
332090,"Tillverkning av andra trämöbelvaror, madrasser"
34,"Massa-, pappers- och pappersvarutillverkning, grafisk produktion"
341,"Massa-, pappers- och pappersvarutillverkning"
3411,Massa- och papperstillverkning
34111,Massatillverkning
341111,Tillverkning av mekanisk eller halvkemisk massa
341112,Sulfatmassatillverkning
341113,Sulfitmassatillverkning
34112,Pappers- och papptillverkning
341121,Tillverkning av tidnings- och journalpapper
341122,Tillverkning av kraftpapper och -papp
341129,"Övrig tillverkning av papper, papp"
34113,Tillverkning av träfiberplattor
341130,Tillverkning av träfiberplattor
3412,Tillverkning av pappers- och pappförpackningar
34121,Tillverkning av wellpapp
341210,Tillverkning av wellpapp
34129,Tillverkning av pappersförpackningar (utom wellpapp)
341290,Tillverkning av pappersförpackningar (utom wellpapp)
3419,Övrig tillverkning av pappers- och pappvaror
34190,Övrig tillverkning av pappers- och pappvaror
341901,Tapettillverkning
341909,Tillverkning av andra pappers- och pappvaror
342,"Grafisk produktion, förlagsverksamhet"
3420,"Grafisk produktion, förlagsverksamhet"
34201,"Tryckning, dagstidningsutgivning"
342011,Tryckning och utgivning av dagstidningar
342012,Tryckning av veckotidningar
342019,Övrig tryckning
34202,Tillverkning av tryckformar
342020,Tillverkning av tryckformar
34203,Bokbindning
342030,Bokbindning
34204,Förlagsverksamhet
342041,Bokförlagsverksamhet
342049,Övrig förlagsverksamhet
35,"Tillverkning av kemiska produkter, petroleumprodukter, gummi- och plastvaror"
351,"Kemikalie-, gödselmedels- och plasttillverkning"
3511,Tillverkning av kemikalier
35111,Oorganisk kemikalietillverkning
351110,Oorganisk kemikalietillverkning
35112,Organisk kemikalietillverkning
351121,Sulfitsprittillverkning
351129,Övrig organisk kemikalietillverkning
35113,Oxygen- och annan industrigasframställning
351130,Oxygen- och annan industrigasframställning
3512,"Tillverkning av gödselmedel, ogräsbekämpningsmedel"
35121,Gödselmedelstillverkning
351210,Gödselmedelstillverkning
35122,Tillverkning av ogräs- och insektsbekämpningsmedel
351220,Tillverkning av ogräs- och insektsbekämpningsmedel
3513,Konstfiber- och plasttillverkning
35131,Konstfiber- och basplasttillverkning
351310,Konstfiber- och basplasttillverkning
35132,Plasthalvfabrikattillverkning
351320,Plasthalvfabrikattillverkning
352,Tillverkning av andra kemiska produkter
3521,Färgtillverkning
35210,Färgtillverkning (utom tryckfärg)
352100,Färgtillverkning (utom tryckfärg)
3522,Läkemedelstillverkning
35220,Läkemedelstillverkning
352200,Läkemedelstillverkning
3523,Tvättmedels- och toalettmedelstillverkning
35230,Tvättmedels- och toalettmedelstillverkning
352300,Tvättmedels- och toalettmedelstillverkning
3529,Övrig tillverkning av kemiska produkter
35290,Övrig tillverkning av kemiska produkter
352901,Tändstickstillverkning
352902,Sprängämnes- och ammunitionstillverkning
352903,Tryckfärgstillverkning
352909,Tillverkning av övriga kemiska produkter
353,Petroleumraffinering
3530,Petroleumraffinering
35300,Petroleumraffinering
353000,Petroleumraffinering
354,"Tillverkning av smörjmedel, asfalt- och kolprodukter"
3540,"Tillverkning av smörjmedel, asfalt- och kolprodukter"
35401,Smörjmedelsframställning
354010,Smörjmedelsframställning
35409,Annan tillverkning av petroleum- och kolprodukter
354091,Asfaltpapptillverkning
354099,Tillverkning av övriga petroleum- och kolprodukter
355,Gummivarutillverkning
3551,"Däck- och slangtillverkning, gummireparation"
35511,Tillverkning av däck och slangar
355110,Tillverkning av däck och slangar
35512,"Regummering, gummireparation"
355120,"Regummering, gummireparation"
3559,Övrig gummivarutillverkning
35590,Övrig gummivarutillverkning
355900,Övrig gummivarutillverkning
356,Plastvarutillverkning
3560,Plastvarutillverkning
35601,Plastförpackningstillverkning
356010,Plastförpackningstillverkning
35609,Tillverkning av andra plastvaror (utom förpackningar)
356090,Tillverkning av andra plastvaror (utom förpackningar)
36,"Tillverkning av varor av mineraliska ämnen, utom metaller"
361,Porslins- och lergodstillverkning
3610,Porslins- och lergodstillverkning
36100,Porslins- och lergodstillverkning
361000,Porslins- och lergodstillverkning
362,Glas- och glasvarutillverkning
3620,Glas- och glasvarutillverkning
36201,Planglastillverkning
362010,Planglastillverkning
36202,Tillverkning av förpackningsglas
362020,Tillverkning av förpackningsglas
36203,Tillverkning av hushålls- och prydnadsglas
362030,Tillverkning av hushålls- och prydnadsglas
36209,Tillverkning av andra glasvaror
362090,Tillverkning av andra glasvaror
369,"Tegel-, cement- och annan mineralvarutillverkning"
3691,Tegelvarutillverkning
36911,Tillverkning av rödtegelvaror
369110,Tillverkning av rödtegelvaror
36919,Tillverkning av tegelvaror (utom rödtegelvaror)
369190,Tillverkning av tegelvaror (utom rödtegelvaror)
3692,Cement- och kalktillverkning
36921,Cementtillverkning
369210,Cementtillverkning
36922,Kalktillverkning
369220,Kalktillverkning
3699,Övrig mineralvarutillverkning
36991,Stenbearbetning
369910,Stenbearbetning
36992,Betong- och betongvarutillverkning
369921,Tillverkning av fabriksblandad betong
369922,Tillverkning av lättbetongvaror
369929,Tillverkning av övriga betongvaror
36999,Tillverkning av andra varor av mineraliska ämnen
369991,"Tillverkning av mineralull, glasull och varor därav"
369992,Slipmedelstillverkning
369999,Tillverkning av övriga varor av mineraliska ämnen
37,Metallframställning
371,"Järn-, stål- och ferrolegeringsframställning"
3710,"Järn-, stål- och ferrolegeringsframställning"
37101,Järn- och stålframställning
371010,Järn- och stålframställning
37102,Ferrolegeringsframställning
371020,Ferrolegeringsframställning
37103,Gjutning av järn och stål
371030,Gjutning av järn och stål
