vardekod,vardebenamning
1,Förgymnasial utbildning kortare än 9 år
2,Förgymnasial utbildning 9 år
3,Gymnasial utbildning högst 2-årig
4,Gymnasial utbildning 3 år
5,Eftergymnasial utbildning kortare än 3 år
6,Eftergymnasial utbildning 3 år eller längre (exkl. forskarutbildning)
7,Forskarutbildning
