code,label,label_en,parent_code,valid_from,valid_to
QM01CC,Penicillamin och liknande medel,Penicillamine and similar agents,,,
QM01CC01,Penicillamin,Penicillamine,,,
QM01CC02,Bucillamin,Bucillamine,,,
QM01CX,Övriga specifika antireumatiska medel,Other specific antirheumatic agents,,,
QM02,Utvärtes medel vid led- och muskelsmärtor,Topical products for joint and muscular pain,,,
QM02A,Utvärtes medel vid led- och muskelsmärtor,Topical products for joint and muscular pain,,,
QM02AA,"Antiinflammatoriska medel, icke-steroider för utvärtes bruk","Antiinflammatory preparations, non-steroids for topical use",,,
QM02AA01,Fenylbutazon,Phenylbutazone,,,
QM02AA02,Mofebutazon,Mofebutazone,,,
QM02AA03,Klofezon,Clofezone,,,
QM02AA04,Oxyfenbutazon,Oxyphenbutazone,,,
QM02AA05,Bensydamin,Benzydamine,,,
QM02AA06,Etofenamat,Etofenamate,,,
QM02AA07,Piroxikam,Piroxicam,,,
QM02AA08,Felbinak,Felbinac,,,
QM02AA09,Bufexamak,Bufexamac,,,
QM02AA10,Ketoprofen,Ketoprofen,,,
QM02AA11,Bendazak,Bendazac,,,
QM02AA12,Naproxen,Naproxen,,,
QM02AA13,Ibuprofen,Ibuprofen,,,
QM02AA14,Fentiazak,Fentiazac,,,
QM02AA15,Diklofenak,Diclofenac,,,
QM02AA16,Feprazon,Feprazone,,,
QM02AA17,Nifluminsyra,Niflumic acid,,,
QM02AA18,Meklofenamsyra,Meclofenamic acid,,,
QM02AA19,Flurbiprofen,Flurbiprofen,,,
QM02AA21,Tolmetin,Tolmetin,,,
QM02AA22,Suxibuzon,Suxibuzone,,,
QM02AA23,Indometacin,Indometacin,,,
QM02AA24,Nifenazon,Nifenazone,,,
QM02AA25,Aceklofenak,Aceclofenac,,,
QM02AA26,Nimesulid,Nimesulide,,,
QM02AA27,Dexketoprofen,Dexketoprofen,,,
QM02AA28,Piketoprofen,Piketoprofen,,,
QM02AA29,Esflurbiprofen,Esflurbiprofen,,,
QM02AA31,Loxoprofen,Loxoprofen,,,
QM02AA99,"Antiinflammatoriska medel, icke-steroida, för utvärtes bruk, kombinationer","Antiinflammatory preparations, non-steroids for topical use, combinations",,,
QM02AB,Kapsaicin och liknande medel,Capsaicin and similar agents,,,
QM02AB01,Kapsaicin,Capsaicin,,,
QM02AB02,Zukapsaicin,Zucapsaicin,,,
QM02AC,Salicylsyraderivat,Preparations with salicylic acid derivatives,,,
QM02AC99,"Salicylsyraderivat, kombinationer","Preparations with salicylic acid derivatives, combinations",,,
QM02AQ,Blister,Blistering agents,,,
QM02AX,Övriga utvärtes medel för led- och muskelsmärtor,Other topical products for joint and muscular pain,,,
QM02AX02,Tolazolin,Tolazoline,,,
QM02AX03,Dimetylsulfoxid,Dimethyl sulfoxide,,,
QM02AX05,Idrocilamid,Idrocilamide,,,
QM02AX06,Tolperison,Tolperisone,,,
QM02AX10,Övrigt,Various,,,
QM02AX53,"Dimetylsulfoxid, kombinationer","Dimethyl sulfoxide, combinations",,,2018-12-31
QM02AX99,Kombinationer,Combinations,,,
QM03,Muskelavslappande medel,Muscle relaxants,,,
QM03A,"Muskelavslappande medel, perifert verkande","Muscle relaxants, peripherally acting agents",,,
QM03AA,Kurarealkaloider,Curare alkaloids,,,
QM03AA01,Alkuron,Alcuronium,,,
QM03AA02,Tubokurarin,Tubocurarine,,,
QM03AA04,Dimetyltubokurarin,Dimethyltubocurarine,,,
QM03AB,Kolinderivat,Choline derivatives,,,
QM03AB01,Suxametonium,Suxamethonium,,,
QM03AC,Övriga kvartära ammoniumföreningar,Other quaternary ammonium compounds,,,
QM03AC01,Pankuronium,Pancuronium,,,
QM03AC02,Gallamin,Gallamine,,,
QM03AC03,Vekuronium,Vecuronium,,,
QM03AC04,Atrakurium,Atracurium,,,
QM03AC05,Hexafluronium,Hexafluronium,,,
QM03AC06,Pipekuronbromid,Pipecuronium bromide,,,
QM03AC07,Doxakuriumklorid,Doxacurium chloride,,,
QM03AC08,Fazadiniumbromid,Fazadinium bromide,,,
QM03AC09,Rokuroniumbromid,Rocuronium bromide,,,
QM03AC10,Mivakuriumklorid,Mivacurium chloride,,,
QM03AC11,Cisatrakurium,Cisatracurium,,,
QM03AX,"Övriga muskelavslappande medel, perifert verkande","Other muscle relaxants, peripherally acting agents",,,
QM03AX01,Botulinum toxin,Botulinum toxin,,,
QM03B,"Muskelavslappande medel, centralt verkande","Muscle relaxants, centrally acting agents",,,
QM03BA,Karbaminsyraestrar,Carbamic acid esters,,,
QM03BA01,Fenprobamat,Phenprobamate,,,
QM03BA02,Karisoprodol,Carisoprodol,,,
QM03BA03,Metokarbamol,Methocarbamol,,,
QM03BA04,Styramat,Styramate,,,
QM03BA05,Febarbamat,Febarbamate,,,
QM03BA51,"Fenprobamat, kombinationer exkl. psykoleptika","Phenprobamate, combinations excl. psycholeptics",,,
QM03BA52,"Karisoprodol, kombinationer exkl. psykoleptika","Carisoprodol, combinations excl. psycholeptics",,,
QM03BA53,"Metokarbamol, kombinationer exkl. psykoleptika","Methocarbamol, combinations excl. psycholeptics",,,
QM03BA71,Fenprobamat i kombination med psykoleptika,"Phenprobamate, combinations with psycholeptics",,,
QM03BA72,"Karisoprodol, kombinationer med psykoleptika","Carisoprodol, combinations with psycholeptics",,,
QM03BA73,Metokarbamol i kombination med psykoleptika,"Methocarbamol, combinations with psycholeptics",,,
QM03BA99,Kombinationer,Combinations,,,
QM03BB,"Oxazol-, tiazin- och triazinderivat","Oxazol, thiazine, and triazine derivatives",,,
QM03BB02,Klormezanon,Chlormezanone,,,
QM03BB03,Klorzoxazon,Chlorzoxazone,,,
QM03BB52,"Klormezanon, kombinationer exkl. psykoleptika","Chlormezanone, combinations excl. psycholeptics",,,
QM03BB53,"Klorzoxazon, kombinationer exkl. psykoleptika","Chlorzoxazone, combinations excl. psycholeptics",,,
QM03BB72,Klormezanon i kombination med psykoleptika,"Chlormezanone, combinations with psycholeptics",,,
QM03BB73,"Klorzoxazon, kombinationer med psykoleptika","Chlorzoxazone, combinations with psycholeptics",,,
QM03BC,"Etrar, kemiskt besläktade med antihistaminer","Ethers, chemically close to antihistamines",,,
QM03BC01,Orfenadrin,Orphenadrine (citrate),,,
QM03BC51,"Orfenadrin, kombinationer","Orphenadrine, combinations",,,
QM03BX,Övriga centralt verkande medel,Other centrally acting agents,,,
QM03BX01,Baklofen,Baclofen,,,
QM03BX02,Tizanidin,Tizanidine,,,
QM03BX03,Pridinol,Pridinol,,,
QM03BX04,Tolperison,Tolperisone,,,
QM03BX05,Tiokolkikosid,Thiocolchicoside,,,
QM03BX06,Mefenesin,Mephenesin,,,
QM03BX07,Tetrazepam,Tetrazepam,,,
QM03BX08,Cyklobenzaprin,Cyclobenzaprine,,,
QM03BX09,Eperison,Eperisone,,,
QM03BX30,Feniramidol,Fenyramidol,,,
QM03BX53,"Pridinol, kombinationer","Pridinol, combinations",,,
QM03BX55,"Tiokolkikosid, kombinationer","Thiocolchicoside, combinations",,,
QM03BX90,Guaifenesin,Guaifenesin,,,
QM03C,"Muskelavslappande medel, direktverkande","Muscle relaxants, directly acting agents",,,
QM03CA,Dantrolen och derivat,Dantrolene and derivatives,,,
QM03CA01,Dantrolen,Dantrolene,,,
QM04,Giktmedel,Antigout preparations,,,
QM04A,Giktmedel,Antigout preparations,,,
QM04AA,Medel som hämmar produktionen av urinsyra,Preparations inhibiting uric acid production,,,
QM04AA01,Allopurinol,Allopurinol,,,
QM04AA02,Tisopurin,Tisopurine,,,
QM04AA03,Febuxostat,Febuxostat,,,
QM04AA51,"Allopurinol, kombinationer","Allopurinol, combinations",,,
QM04AB,Medel som ökar utsöndringen av urinsyra,Preparations increasing uric acid excretion,,,
QM04AB01,Probenecid,Probenecid,,,
QM04AB02,Sulfinpyrazon,Sulfinpyrazone,,,
QM04AB03,Bensbromaron,Benzbromarone,,,
QM04AB04,Isobromindion,Isobromindione,,,
QM04AB05,Lesinurad,Lesinurad,,,
QM04AB06,Dotinurad,Dotinurad,,,
QM04AC,Medel utan effekt på urinsyrametabolismen,Preparations with no effect on uric acid metabolism,,,
QM04AC01,Kolkicin,Colchicine,,,
QM04AC02,Cinkofen,Cinchophen,,,
QM04AC51,Kolkicin och probenecid,Colchicine and probenecid,,,
QM04AX,Övriga giktmedel,Other antigout preparations,,,
QM04AX01,Uratoxidas,Urate oxidase,,,
QM04AX02,Peglotikas,Pegloticase,,,
QM05,Medel för behandling av skelettsjukdomar,Drugs for treatment of bone diseases,,,
QM05A,Övriga medel vid sjukdomar i rörelseapparaten,Other drugs for disorders of the musculoskeletal system,,,2014-01-21
QM05AQ,Medel för intraartikulärt bruk,Agents for intra-articular use,,,2014-01-21
QM05AQ01,Hyaluronsyra,Hyaluronic acid,,,2014-01-21
QM05B,Medel som påverkar benvävnad och mineralisering,Drugs affecting bone structure and mineralization,,,
QM05BA,Bisfosfonater,Bisphosphonates,,,
QM05BA01,Etidronat,Etidronic acid,,,
QM05BA02,Klodronsyra,Clodronic acid,,,
QM05BA03,Pamidronat,Pamidronic acid,,,
QM05BA04,Alendronsyra,Alendronic acid,,,
QM05BA05,Tiludronsyra,Tiludronic acid,,,
QM05BA06,Ibandronsyra,Ibandronic acid,,,
QM05BA07,Risedronsyra,Risedronic acid,,,
QM05BA08,Zoledronsyra,Zoledronic acid,,,
QM05BB,"Bisfosfonater, kombinationer","Bisphosphonates, combinations",,,
QM05BB01,"Etidronsyra och kalcium, sekvenspreparat","Etidronic acid and calcium, sequential",,,
QM05BB02,"Risedronsyra och kalcium, sekvenspreparat","Risedronic acid and calcium, sequential",,,
QM05BB03,Alendronsyra och kolekalciferol,Alendronic acid and colecalciferol,,,
QM05BB04,"Risedronsyra, kalcium och kolekalciferol, sekvenspreparat","Risedronic acid, calcium and colecalciferol, sequential",,,
QM05BB05,"Alendronsyra, kalcium och kolekalciferol sekvenspreparat","Alendronic acid, calcium and colecalciferol, sequential",,,
QM05BB06,"Alendronsyra och alfakalcidol, sekvenspreparat","Alendronic acid and alfacalcidol, sequential",,,
QM05BB07,Risedronsyra och kolekalciferol,Risedronic acid and colecalciferol,,,
QM05BB08,"Zoledronsyra, kalcium och kolekalciferol, sekvenspreparat","Zoledronic acid, calcium and colecalciferol, sequential",,,
QM05BB09,Ibandronsyra och kolekalciferol,Ibandronic acid and colecalciferol,,,
QM05BC,Benmorfogenetiska proteiner,Bone morphogenetic proteins,,,
QM05BC01,Dibotermin alfa,Dibotermin alfa,,,
QM05BC02,Eptotermin alfa,Eptotermin alfa,,,
QM05BX,Övriga medel som påverkar benstruktur och mineralisering,Other drugs affecting bone structure and mineralization,,,
QM05BX01,Ipriflavon,Ipriflavone,,,
QM05BX02,Aluminiumklorhydrat,Aluminium chlorohydrate,,,
QM05BX03,Strontiumranelat,Strontium ranelate,,,
QM05BX04,Denosumab,Denosumab,,,
QM05BX05,Burosumab,Burosumab,,,
QM05BX06,Romosozumab,Romosozumab,,,
QM05BX07,Vosoritid,Vosoritide,,,
QM05BX08,Menatetrenon,Menatetrenone,,,
QM05BX53,Strontiumranelat och kolekalciferol,Strontium ranelate and colecalciferol,,,
QM09,Övriga medel för sjukdomar i rörelseapparaten,Other drugs for disorders of the musculo-skeletal system,,,
QM09A,Övriga medel för sjukdomar i rörelseapparaten,Other drugs for disorders of the musculo-skeletal system,,,
QM09AA,Kinin och derivat,Quinine and derivatives,,,
QM09AA01,Hydrokinin,Hydroquinine,,,
QM09AA72,Kinin i kombination med neuroleptika,"Quinine, combinations with psycholeptics",,,
QM09AB,Enzymer,Enzymes,,,
QM09AB01,Kymopapain,Chymopapain,,,
QM09AB02,"Kollagenas, Clostridium histolyticum","Collagenase, Clostridium histolyticum",,,
QM09AB03,Bromelainer,Bromelains,,,
QM09AB52,"Trypsin, kombinationer","Trypsin, combinations",,,
QM09AX,Övriga medel för sjukdomar i rörelseapparaten,Other drugs for disorders of the musculo-skeletal system,,,
QM09AX01,Hyaluronsyra,Hyaluronic acid,,,
QM09AX02,"Kondrocyter, autologa","Chondrocytes, autologous",,,
QM09AX03,Ataluren,Ataluren,,,
QM09AX04,Drisapersen,Drisapersen,,,
QM09AX05,Aceneuraminsyra,Aceneuramic acid,,,
QM09AX06,Eteplirsen,Eteplirsen,,,
QM09AX07,Nusinersen,Nusinersen,,,
QM09AX08,Golodirsen,Golodirsen,,,
QM09AX09,Onasemnogen-abeparvovek,Onasemnogene abeparvovec,,,
QM09AX10,Risdiplam,Risdiplam,,,
QM09AX11,Palovaroten,Palovarotene,,,
QM09AX12,Viltolarsen,Viltolarsen,,,
QM09AX13,Kasimersen,Casimersen,,,
QM09AX14,Givinostat,Givinostat,,,
QM09AX15,Delandistrogen-moxeparvovek,Delandistrogene moxeparvovec,,,
QM09AX16,Apitegromab,Apitegromab,,,
QM09AX90,Häststamceller,Equine stem cells,,,
QM09AX91,Polyakrylamid,Polyacrylamide,,,
QM09AX92,Hundstamceller,Canine stem cells,,,
QM09AX99,Kombinationer,Combinations,,,
QN,Nervsystemet,Nervous system,,,
QN01,Anestetika,Anesthetics,,,
QN01A,Allmänanestetika,"Anesthetics, general",,,
QN01AA,Etrar,Ethers,,,
QN01AA01,Dietyleter,Diethyl ether,,,
QN01AA02,Vinyleter,Vinyl ether,,,
QN01AB,Halogenerade kolväten,Halogenated hydrocarbons,,,
QN01AB01,Halotan,Halothane,,,
QN01AB02,Kloroform,Chloroform,,,
QN01AB04,Enfluran,Enflurane,,,
QN01AB05,Trikloretylen,Trichloroethylene,,,
QN01AB06,Isofluran,Isoflurane,,,
QN01AB07,Desfluran,Desflurane,,,
QN01AB08,Sevofluran,Sevoflurane,,,
QN01AF,Barbiturater,"Barbiturates, plain",,,
QN01AF01,Metohexital,Methohexital,,,
QN01AF02,Hexobarbital,Hexobarbital,,,
QN01AF03,Tiopental,Thiopental,,,
QN01AF90,Tiamylal,Thiamylal,,,
QN01AG,Barbitursyraderivat i kombination med andra medel,Barbiturates in combination with other drugs,,,
QN01AG01,Narkobarbital,Narcobarbital,,,
QN01AH,Opioidanestetika,Opioid anesthetics,,,
QN01AH01,Fentanyl,Fentanyl,,,
QN01AH02,Alfentanil,Alfentanil,,,
QN01AH03,Sufentanil,Sufentanil,,,
QN01AH04,Fenoperidin,Phenoperidine,,,
QN01AH05,Anileridin,Anileridine,,,
QN01AH06,Remifentanil,Remifentanil,,,
QN01AH51,"Fentanyl, kombinationer","Fentanyl, combinations",,,
QN01AX,Övriga allmänanestetika,Other general anesthetics,,,
QN01AX03,Ketamin,Ketamine,,,
QN01AX04,Propanidid,Propanidid,,,
QN01AX05,Alfaxalon,Alfaxalone,,,
QN01AX07,Etomidat,Etomidate,,,
QN01AX10,Propofol,Propofol,,,
QN01AX11,Natriumoxibat,Sodium oxybate,,,
QN01AX13,Dikväveoxid,Nitrous oxide,,,
QN01AX14,Esketamin,Esketamine,,,
QN01AX15,Xenon,Xenon,,,
QN01AX63,"Dikväveoxid, kombinationer","Nitrous oxide, combinations",,,
QN01AX90,Metomidat,Metomidate,,,2014-01-21
QN01AX91,Azaperone,Azaperone,,,
QN01AX92,Bensokain,Benzocaine,,,
QN01AX93,Trikainmesilat,Tricaine mesilate,,,
QN01AX94,Isoeugenol,Isoeugenol,,,
QN01AX95,Levomentol,Levomenthol,,,
QN01AX99,"Övriga allmäna anestetika, kombinationer","Other general anesthetics, combinations",,,
QN01B,Lokalanestetika,"Anesthetics, local",,,
QN01BA,Aminosyrabensoestrar,Esters of aminobenzoic acid,,,
QN01BA01,Metabuteamin,Metabutethamine,,,
QN01BA02,Prokain,Procaine,,,
QN01BA03,Tetrakain,Tetracaine,,,
QN01BA04,Kloroprokain,Chloroprocaine,,,
QN01BA05,Bensokain,Benzocaine,,,
QN01BA52,"Prokain, kombinationer","Procaine, combinations",,,
QN01BA53,"Tetrakain, kombinationer","Tetracaine, combinations",,,
QN01BB,Amider,Amides,,,
QN01BB01,Bupivakain,Bupivacaine,,,
QN01BB02,Lidokain,Lidocaine,,,
QN01BB03,Mepivakain,Mepivacaine,,,
QN01BB04,Prilokain,Prilocaine,,,
QN01BB05,Butanilikain,Butanilicaine,,,
QN01BB06,Cinkain,Cinchocaine,,,
QN01BB07,Etidokain,Etidocaine,,,
QN01BB08,Artikain,Articaine,,,
QN01BB09,Ropivakain,Ropivacaine,,,
QN01BB10,Levobupivakain,Levobupivacaine,,,
QN01BB20,Kombinationer,Combinations,,,
QN01BB51,"Bupivakain, kombinationer","Bupivacaine, combinations",,,
QN01BB52,"Lidokain, kombinationer","Lidocaine, combinations",,,
QN01BB53,"Mepivakain, kombinationer","Mepivacaine, combinations",,,
QN01BB54,"Prilokain, kombinationer","Prilocaine, combinations",,,
QN01BB57,"Etidokain, kombinationer","Etidocaine, combinations",,,
QN01BB58,"Artikain, kombinationer","Articaine, combinations",,,
QN01BB59,Bupivakain och meloxikam,Bupivacaine and meloxicam,,,
QN01BC,Estrar av bensoesyra,Esters of benzoic acid,,,
QN01BC01,Kokain,Cocaine,,,
QN01BX,Övriga lokalanestetika,Other local anesthetics,,,
QN01BX01,Etylklorid,Ethyl chloride,,,
QN01BX02,Dyklonin,Dyclonine,,,
QN01BX03,Fenol,Phenol,,,
QN01BX04,Kapsaicin,Capsaicin,,,
QN02,Analgetika,Analgesics,,,
QN02A,Opioider,Opioids,,,
QN02AA,"Naturliga opiumalkaloider, opiater",Natural opium alkaloids,,,
QN02AA01,Morfin,Morphine,,,
QN02AA02,Opium,Opium,,,
QN02AA03,Hydromorfon,Hydromorphone,,,
QN02AA04,Nikomorfin,Nicomorphine,,,
QN02AA05,Oxikodon,Oxycodone,,,
QN02AA08,Dihydrokodein,Dihydrocodeine,,,
QN02AA10,Papaveretum,Papaveretum,,,
QN02AA11,Oximorfon,Oxymorphone,,,
QN02AA51,"Morfin, kombinationer","Morphine, combinations",,,
QN02AA53,Hydromorfon och naloxon,Hydromorphone and naloxone,,,
QN02AA55,Oxikodon och naloxon,Oxycodone and naloxone,,,
QN02AA56,Oxikodon och naltrexon,Oxycodone and naltrexone,,,
QN02AA58,"Dihydrokodein, kombinationer","Dihydrocodeine, combinations",,,
QN02AA59,"Kodein, kombinationer","Codeine, combinations",,,
QN02AA79,"Kodein, kombinationer med neuroleptika","Codeine, combinations with psycholeptics",,,
QN02AB,Fenylpiperidinderivat,Phenylpiperidine derivatives,,,
QN02AB01,Ketobemidon,Ketobemidone,,,
QN02AB02,Petidin,Pethidine,,,
QN02AB03,Fentanyl,Fentanyl,,,
QN02AB52,"Petidin, kombinationer exkl. neuroleptika","Pethidine, combinations excl. psycholeptics",,,
QN02AB53,"Fentanyl, kombinationer exkl. psykoleptika","Fentanyl, combinations excl. psycholeptics",,,
QN02AB72,"Petidin, kombinationer med neuroleptika","Pethidine, combinations with psycholeptics",,,
QN02AB73,"Fentanyl, kombinationer med psykoleptika","Fentanyl, combinations with psycholeptics",,,
QN02AC,Difenylpropylaminderivat,Diphenylpropylamine derivatives,,,
QN02AC01,Dextromoramid,Dextromoramide,,,
QN02AC02,Metadon,Methadone,,,2014-01-21
QN02AC03,Piritramid,Piritramide,,,
QN02AC04,Dextropropoxifen,Dextropropoxyphene,,,
QN02AC05,Bezitramid,Bezitramide,,,
QN02AC52,"Metadon, kombinationer exkl. neuroleptika","Methadone, combinations excl. psycholeptics",,,
QN02AC54,"Dextropropoxifen, kombinationer exkl. neuroleptika","Dextropropoxyphene, combinations excl. psycholeptics",,,
QN02AC74,"Dextropropoxifen, kombinationer med neuroleptika","Dextropropoxyphene, combinations with psycholeptics",,,
QN02AC90,Metadon,Methadone,,,
QN02AD,Bensomorfanderivat,Benzomorphan derivatives,,,
QN02AD01,Pentazocin,Pentazocine,,,
QN02AD02,Fenazocin,Phenazocine,,,
QN02AD51,Pentazocin och naloxon,Pentazocine and naloxone,,,
QN02AE,Oripavinderivat,Oripavine derivatives,,,
