code,label,label_en,parent_code,valid_from,valid_to
036X,"Meningokockinfektion, ospecificerad",,,,
037X,Stelkramp,,,,
038A,Streptokockseptikemi,,,,
038B,Stafylokockseptikemi,,,,
038C,Pneumokockseptikemi,,,,
038D,Septikemi orsakad av anaerober,,,,
038E,Septikemi orsakad av gramnegativa bakterier,,,,
038W,Andra specificerade septikemier,,,,
038X,"Septikemi, ospecificerad",,,,
039X,Aktinomykos,,,,
040A,Gasgangrän,,,,
040B,Rinosklerom,,,,
040C,Whipples sjukdom,,,,
040D,Nekrobacillos,,,,
040W,Andra bakteriesjukdomar,,,,
041A,Infektion orsakad av streptokocker,,,,
041B,Infektion orsakad av stafylokocker,,,,
041C,Infektion orsakad av pneumokocker,,,,
041D,Infektion orsakad av Friedländers bacill,,,,
041E,Infektion orsakad av Escherichia coli,,,,
041F,Infektion orsakad av Haemophilus influenzae,,,,
041G,"Infektion orsakad av Proteus (mirabilis, morganii)",,,,
041H,Infektion orsakad av Pseudomonas,,,,
041W,Infektion orsakad av andra specificerade bakterier,,,,
041X,"Bakterieinfektion, ospecificerad",,,,
045X,Polio,,,,
046A,Kuru,,,,
046B,Jakob-Creutzfeldts sjukdom,,,,
046C,Subakut skleroserande panencefalit,,,,
046D,Progressiv multifokal leukoencefalopati,,,,
046W,Andra spec slow virus-infekt i centr nervsyst än 046A-D,,,,
046X,"Slow virus-infektion i centrala nervsystemet, ospec",,,,
047A,Meningit orsakad av Coxsackievirus,,,,
047B,Meningit orsakad av ECHO-virus,,,,
047W,Meningit orsakad av annat specificerat enterovirus,,,,
047X,"Meningit orsakad av enterovirus, ospecificerat",,,,
048X,Andra sjukd i centrala nervsyst orsakade av enterovirus,,,,
049A,Lymfocytisk koriomeningit,,,,
049B,Meningit orsakad av adenovirus,,,,
049W,Andra spec ej artropodburna virussjukd i centr nervsyst,,,,
049X,Andra ospec ej artropodburna virussjukd i cent nervsyst,,,,
050X,Smittkoppor,,,,
051X,Kokoppor,,,,
052A,Varicellae med pneumonit,,,,
052B,Varicellae med encefalit,,,,
052W,Varicellae med annan specificerad komplikation,,,,
052X,Varicellae utan uppgift om komplikation,,,,
053A,Herpes zoster med meningit,,,,
053B,Herpes zoster med andra komplikationer från nervsystem,,,,
053C,Herpes zoster med ögonkomplikationer,,,,
053H,Herpes zoster med andra specificerade komplik än 053A-C,,,,
053W,Herpes zoster med icke specificerad komplikation,,,,
053X,Herpes zoster utan uppgift om komplikation,,,,
054A,Eczema herpeticum,,,,
054B,Genital herpes,,,,
054C,Gingivostomatit orsakad av herpes simplex,,,,
054D,Encefalit orsakad av herpes simplex,,,,
054E,Herpes simplex med ögonkomplikationer,,,,
