code,label,label_en,parent_code,valid_from,valid_to
AB005,"Endokrint test, ACTH-analog, medellång",,AB,,
AB006,"Endokrint test, ammoniumklorid",,AB,,
AB007,"Endokrint test, arginin",,AB,,
AB008,Kortikosteroidtest vid hyperkalcemi,,AB,,
AB009,"Endokrint test, CRH",,AB,,
AB010,"Endokrint test, dexametason",,AB,,
AB011,"Endokrint test, fasteprov",,AB,,
AB012,"Endokrint test, GHRH",,AB,,
AB013,"Endokrint test, glukagon",,AB,,
AB014,"Endokrint test, glukos, (akromegali)",,AB,,
AB015,"Endokrint test, glukos, (postprandiell hypoglykemi)",,AB,,
AB016,"Endokrint test, GnRH (LHRH)",,AB,,
AB017,"Endokrint test, insulin",,AB,,
AB018,"Endokrint test, klonidin",,AB,,
AB019,"Endokrint test, L-dopa",,AB,,
AB020,"Endokrint test, magnesium",,AB,,
AB021,"Endokrint test, multipel endokrin neoplasi I (MEN I), frukost",,AB,,
AB022,"Endokrint test, metyrapon (metopiron)",,AB,,
AB023,"Endokrint test, natriumklorid",,AB,,
AB024,"Endokrint test, pentagastrin, (medullär tyreoideacancer)",,AB,,
AB025,"Endokrint test, pentagastrin, (carcinoid)",,AB,,
AB026,"Endokrint test, PRA eller aldosteron",,AB,,
AB027,"Endokrint test, sekretin",,AB,,
AB028,"Endokrint test, TRH, kort",,AB,,
AB029,"Endokrint test, TRH, lång",,AB,,
AB030,"Endokrint test, törstprov",,AB,,
AB031,"Glukosbelastning, intravenös",,AB,,
AB032,"Glukosbelastning, peroral",,AB,,
AB033,"Glukostoleranstest, intravenös",,AB,,
AB034,"Hormonprofil, GH-profil",,AB,,
AB035,"Hormonprofil, GH-dygnsprofil med pump",,AB,,
AB036,"Hormonprofil, GH-dygnsprofil utan pump",,AB,,
AB037,"Hormonprofil, kortisol eller ACTH",,AB,,
AB038,"Hormonprofil, TSH",,AB,,
AB039,Klinisk undersökning av endokrina organ,,AB,,
AB040,Sensorbaserad kontinuerlig glukosmätning,,AB,,
AB041,"Magnetresonanstomografi, binjurar",,AB,,
AB042,"Magnetresonanstomografi, tyreoidea och paratyreoidea",,AB,,
AB043,"Skintigrafi, binjurebark",,AB,,
AB044,"Skintigrafi, binjuremärg",,AB,,
AB045,"Skintigrafi, paratyreoidea",,AB,,
AB046,"Skintigrafi, somatostatinreceptor",,AB,,
AB047,"Skintigrafi, tyreoidea",,AB,,
AB048,"Skintigrafi, tyreoidea, upptagsmätning",,AB,,
AB049,"Ultraljudsundersökning, binjurar",,AB,,
AB050,"Ultraljudsundersökning, paratyreoidea",,AB,,
AB051,"Ultraljudsundersökning, tyreoidea",,AB,,
AB052,Övriga specificerade endokrina tester,,AB,,
AB053,Övriga specificerade hormonprofiler,,AB,,
AB054,"Datortomografi, binjurar",,AB,,
AB055,Radiojodupptagningsmätning,,AB,,
AC,Ögonregionen,,A,,
AC001,"Allergenprovokation, konjunktival",,AC,,
AC002,Axellängdsmätning ögonglob,,AC,,
AC003,Dakryocystografi,,AC,,
AC004,"Datortomografi, orbita",,AC,,
AC005,Elektroretinografi (ERG),,AC,,
AC006,Flebografi av orbita,,AC,,
AC007,Fotografering av ögat,,AC,,
AC008,Färgsinnestest,,AC,,
AC009,Gonioskopi,,AC,,
AC010,Hertelmätning,,AC,,
AC011,Keratometri,,AC,,
AC012,Klinisk undersökning av ögon,,AC,,
AC013,Kontrastseendeundersökning,,AC,,
AC014,Laserbiomikroskopi av ögon,,AC,,
AC015,Lees skärm,,AC,,
AC016,"Magnetresonanstomografi, orbita",,AC,,
AC017,Mätning av hornhinnetjocklek,,AC,,
AC018,Neurooftalmologisk undersökning,,AC,,
AC019,"Oftalmoskopi, binokulär",,AC,,
AC020,"Oftalmoskopi, direkt",,AC,,
AC021,"Oftalmoskopi, indirekt",,AC,,
AC022,Mätning av näthinnetjocklek,,AC,,
AC023,Omfattande bländningsundersökning,,AC,,
AC024,Omfattande kontrastseendeundersökning,,AC,,
AC025,Prismautjämning,,AC,,
AC026,Pupilldilatation,,AC,,
AC027,Refraktionering,,AC,,
AC028,Skelningsstatus,,AC,,
AC029,"Skintigrafi, melanomlokalisation i öga (preoperativt)",,AC,,
AC030,"Skintigrafi, tårkörtel",,AC,,
AC031,"Synfältsundersökning, manuell",,AC,,
AC032,Synskärpeundersökning,,AC,,
AC033,"Tryckkurva, ögon",,AC,,
AC034,"Tryckmätning, ögon",,AC,,
AC035,Ultraljudsundersökning av bulben,,AC,,
AC036,Ultraljudsundersökning av orbita,,AC,,
AC037,Undersökning avseende prematuritetsretinopati (ROP),,AC,,
AC038,Undersökningar vid misstänkt keratokonjunctivitis sicca,,AC,,
AC039,Utvidgat färgsinnestest med anomaloskop,,AC,,
AC040,"Ögonbiomikroskopi, med kontaktglas",,AC,,
AC041,"Ögonbiomikroskopi, utan kontaktglas",,AC,,
AC042,Elektrookulografi,,AC,,
AC043,Glaucoma Diagnostic (GCx),,AC,,
AC044,Ultraljudsbiomikroskopi (UBM),,AC,,
AC045,Scheimpflug-fotografering,,AC,,
AC046,"Korneal topografi, undersökning av",,AC,,
AC047,Skiaskopi,,AC,,
AC048,Autorefraktometri,,AC,,
AC049,"Binokulärt blickfält, undersökning av",,AC,,
AC050,"Stereoseende, undersökning av",,AC,,
AC051,ICG-angiografi av ögonbotten,,AC,,
AC052,Fluorescein-angiografi av ögonbotten,,AC,,
AC060,Diplopitest,,AC,,
AC065,Synbedömning utan medverkan,,AC,,
AD,"Öron, näsa, hals och struphuvud",,A,,
AD001,"Allergenprovokation, nasal",,AD,,
AD002,Angiografi av halsorgan,,AD,,
AD003,Audiogram med såväl luft- som benledningsmätning,,AD,,
AD004,Barnaudiologiska test,,AD,,
AD005,"Datortomografi, hals och larynx",,AD,,
AD006,"Datortomografi, spottkörtlar",,AD,,
AD007,"Datortomografi, temporalben (öra)",,AD,,
AD008,"Epifaryngoskopi, endoskopisk",,AD,,
AD009,Fiberskopisk undersökning av orofaryngeal sväljning (FUS),,AD,,
AD010,Fiberskopisk undersökning av velofarynxfunktion under tal,,AD,,
AD011,Höghastighetsfilmning av stämbanden,,AD,,
AD012,Impedansmätning inom audiologin,,AD,,
AD013,"Klinisk undersökning av öron, näsa och hals",,AD,,
AD014,Laryngografi,,AD,,
AD015,Laryngoskopi med stel optik,,AD,,
AD016,Ljudobehagsmätningar,,AD,,
AD017,Lukt- och smakutredning,,AD,,
AD018,"Magnetresonanstomografi, hals och larynx",,AD,,
AD019,"Magnetresonanstomografi, spottkörtlar",,AD,,
AD020,"Magnetresonanstomografi, temporalben (öra)",,AD,,
AD021,Nasalt borstprov,,AD,,
AD022,Nasometri,,AD,,
AD023,Registrering av otoakustiska emissioner,,AD,,
AD024,Preoperativ kokleaimplantatutredning,,AD,,
AD025,Rinometri,,AD,,
AD026,Rinomanometri,,AD,,
AD027,"Röntgenundersökning, epifarynx och nasofarynx",,AD,,
AD028,"Röntgenundersökning, halsens mjukdelar (inklusive trakea)",,AD,,
AD029,"Röntgenundersökning, hypofarynx",,AD,,
AD030,"Röntgenundersökning, hypofarynx och esofagus",,AD,,
AD031,"Röntgenundersökning, larynx (utan kontrast)",,AD,,
AD032,"Röntgenundersökning, näsans bihålor",,AD,,
AD033,"Röntgenundersökning, spottkörtlar (översikt)",,AD,,
AD034,"Röntgenundersökning, temporalben (öra), fullständig undersökning",,AD,,
AD035,Sialografi,,AD,,
AD036,Stroboskopisk undersökning av stämbanden,,AD,,
AD037,Talaudiometriska test,,AD,,
AD038,Tinnitusanalys,,AD,,
AD039,Tinnitusutredning,,AD,,
AD041,Tympanometri,,AD,,
AD042,Ultraljud sinus,,AD,,
AD043,"Ultraljudsundersökning, halsens mjukdelar",,AD,,
AD044,"Ultraljudsundersökning, spottkörtlar",,AD,,
AD045,Undersökning av röst,,AD,,
AD046,Videofluoroskopi av velofarynxfunktion under tal,,AD,,
AD047,"Tonaudiogram, endast luftledning",,AD,,
AD048,"Epifaryngoskopi, endoskopisk med biopsi",,AD,,
AD050,"Hörselutredning, omfattande",,AD,,
AD051,Hörselgångsmätning (IF-mätning),,AD,,
AD052,Foniatrisk diagnostik av röst- och talstörningar,,AD,,
AD053,Ljudfältsmätning,,AD,,
AD054,Avtryckstagning från hörselgång och ytteröra,,AD,,
AD055,Video Head Impulse Test (vHIT),,AD,,
AE,"Läppar, tänder, käkar, mun och svalg",,A,,
AE001,"Datortomografi, inför implantat av tänder",,AE,,
AE002,"Datortomografi, käkleder",,AE,,
AE003,"Datortomografi, munbotten",,AE,,
AE004,Klinisk undersökning av munhåla och tänder,,AE,,
AE005,"Magnetresonanstomografi, käkleder",,AE,,
AE006,"Magnetresonanstomografi, munbotten",,AE,,
AE007,"Röntgenundersökning, enskild tand",,AE,,
AE008,"Röntgenundersökning, käkleder",,AE,,
AE009,"Röntgenundersökning, munbotten",,AE,,
AE010,"Röntgenundersökning, munhåla",,AE,,
AE011,"Röntgenundersökning, stereoundersökning av käkbensförankrat implantat",,AE,,
AE012,"Röntgenundersökning, tänder (utan närmare specificering)",,AE,,
AE013,"Röntgenundersökning, tänder, delstatus",,AE,,
AE014,"Röntgenundersökning, tänder, helstatus",,AE,,
AE015,"Röntgenundersökning, tänder, panoramaundersökning",,AE,,
AE016,"Röntgenundersökning, underkäke",,AE,,
AE017,Salivvolymsmätning,,AE,,
AE018,"Skintigrafi, spottkörtlar",,AE,,
AE019,"Skintigrafi, tårkanal",,AE,,
AE020,Undersökning av oralmotorik,,AE,,
AE021,Videofluoroskopi av orofaryngeal sväljning,,AE,,
AF,Hjärtat och de stora intratorakala kärlen,,A,,
AF001,Angiografi av höger förmak,,AF,,
AF002,Angiografi av höger kammare,,AF,,
AF003,Angiografi av vänster förmak,,AF,,
AF004,Angiografi av vänster kammare,,AF,,
AF005,"Angiografi, aortocervikal",,AF,,
AF006,Selektiv angiografi av coronary bypass inklusive a. mammaria interna,,AF,,
AF008,Annan specificerad elektrokardiografi,,AF,,
AF009,Annan specificerad mätning i hjärta och de stora intratorakala kärlen,,AF,,
AF010,"Aortografi, lumbal",,AF,,
AF011,"Aortografi, torakal (supravalvulär)",,AF,,
AF012,"Arbets-EKG, standard",,AF,,
AF013,Arteriografi av två eller flera bukartärer,,AF,,
AF015,Blodtrycksmätning standard,,AF,,
AF016,"Blodtrycksmätning under lång tid, non-invasiv",,AF,,
AF017,"Datortomografi, bukaorta och vena cava",,AF,,
AF018,"Datortomografi, hjärta",,AF,,
AF019,Doppler ekokardiografi med stress,,AF,,
AF020,"Doppler ekokardiografi, transtorakal, enkel",,AF,,
AF021,"Doppler ekokardiografi, transtorakal, omfattande",,AF,,
